date,raw_description,amount,channel,category
2025-11-03,POS 710570 NFLX*NETFLIX GZB,202.4,POS,Subscriptions
2025-10-28,UPI-AMAZON-209496@upi,2227.28,UPI,Shopping
2025-11-20,UPI-BSES RAJDHANI POWER-796667@apl,589.22,UPI,Utilities & Bills
2025-12-20,UPI-MEESHO INDIA-102414@okaxis,904.16,UPI,Shopping
2026-04-01,POS 83627 JIORECHARGE INDIA GZB,222.06,POS,Utilities & Bills
2025-10-07,UPI-AMAZON PRIME-694384@ybl,1016.16,UPI,Subscriptions
2026-01-11,POS 171555 SBIPERSONALLOANEMI PVT LTD MUM,6262.17,POS,Transfers & Payments
2026-05-28,NEFT-APPLEMUSIC LTD-N561086,152.16,NEFT,Subscriptions
2026-05-24,UPI-BARBEQUE NATION LTD-718870@okaxis,2362.88,UPI,Dining
2025-12-09,POS 958492 MAX HO LTD GZB,7796.19,POS,Health & Fitness
2026-05-26,UPI-INDIAN OIL LTD-259607@upi,1287.84,UPI,Transport
2026-04-25,UPI-SPENCERSRETAIL LTD-146051@ibl,516.63,UPI,Groceries
2025-09-20,UPI-BOOKMYSHOW INDIA-626380@paytm,392.46,UPI,Entertainment
2026-04-10,UPI-TATA PLAY DTH-714328@upi,306.56,UPI,Utilities & Bills
2025-12-01,ACH-INTERESTCREDITSBAC LTD-476763,100.02,ACH,Income
2026-03-14,UPI-XBOX STORE-957959@paytm,3152.31,UPI,Entertainment
2025-09-17,UPI-HPPETROLPUMP LTD-566579@apl,2627.21,UPI,Transport
2026-03-01,IMPS-922406-FDMATURITYPROCEEDS PVT LTD,97377.24,IMPS,Income
2026-04-17,UPI-MAX HOSPITAL-768460@oksbi,6825.99,UPI,Health & Fitness
2025-09-04,POS 174148 NEFT TRANSFER MUM,14643.54,POS,Transfers & Payments
2026-06-19,NEFT-BSESRAJDHANIPOWER PVT LTD-N419373,3966.13,NEFT,Utilities & Bills
2026-02-17,POS 68136 SONYLIV LTD MUM,299.31,POS,Subscriptions
2025-08-06,UPI-WATER BILL-241062@paytm,691.87,UPI,Utilities & Bills
2025-11-06,ACH-RENT TRANSFER  LTD-759490,27503.74,ACH,Rent
2026-02-28,UPI-TATA PLAY DTH LTD-99907@paytm,517.13,UPI,Utilities & Bills
2025-07-28,UPI-REDBUS-64556@oksbi,1142.41,UPI,Transport
2025-10-06,UPI-PHARME INDIA-193401@okaxis,438.93,UPI,Health & Fitness
2026-04-01,IMPS-877638-RENTTRANSFERLANDLORD,10004.36,IMPS,Rent
2025-09-24,POS 907651 PIZZA H LTD NOIDA,788.64,POS,Dining
2025-11-13,IMPS-300105-ZOMATO INDIA,259.57,IMPS,Dining
2026-03-07,POS 229275 NEFTTRANSFER PVT LTD DEL,17437.04,POS,Transfers & Payments
2026-04-26,UPI-INDRAPRASTHA G LTD-60642@ibl,407.06,UPI,Utilities & Bills
2025-10-29,UPI-SPENCERS -624398@paytm,698.72,UPI,Groceries
2025-10-13,NEFT-UDEMY ONLINE COURSE PVT LTD-N251280,583.43,NEFT,Shopping
2025-12-09,UPI-FAASOS-10767@oksbi,247.33,UPI,Dining
2025-10-18,UPI-AIRTEL P PVT LTD-924653@paytm,806.15,UPI,Utilities & Bills
2026-04-05,UPI-RAPIDO BIKE-847305@upi,84.76,UPI,Transport
2026-06-05,UPI-YOUTUBEPREMIUM LTD-278312@paytm,176.5,UPI,Subscriptions
2026-05-06,UPI-PVRCINEMAS PVT LTD-214487@upi,662.03,UPI,Entertainment
2025-07-27,UPI-NATURESBASKET INDIA-870634@okaxis,303.3,UPI,Groceries
2025-11-12,UPI-RAPIDOBIKE INDIA-579478@upi,69.27,UPI,Transport
2026-06-19,NEFT-SWIGGY-N38778,663.31,NEFT,Dining
2025-07-22,UPI-VODAFONEIDEA-943590@okaxis,186.51,UPI,Utilities & Bills
2026-04-13,UPI-BLINKIT INDIA-651810@upi,121.5,UPI,Groceries
2025-09-29,IMPS-189073-HDFC CREDIT CARD AUTOPAY,14935.6,IMPS,Transfers & Payments
2025-11-05,POS 402124 REDBUS DEL,1432.06,POS,Transport
2025-10-25,UPI-NATURESBASKET LTD-418821@okaxis,431.95,UPI,Groceries
2026-05-25,UPI-PIZZA H-121944@okaxis,319.13,UPI,Dining
2026-05-02,UPI-PHONEPE  INDIA-636656@ibl,366.14,UPI,Transfers & Payments
2025-07-06,IMPS-721221-NEFT INWARD RE,10834.01,IMPS,Income
2026-02-06,UPI-XBOXSTORE PVT LTD-654425@okaxis,2040.29,UPI,Entertainment
2026-06-07,UPI-KFC PVT LTD-582343@ybl,218.4,UPI,Dining
2025-09-28,POS 426800 SONY LIV PVT LTD GZB,785.57,POS,Subscriptions
2026-04-23,UPI-IRCTC PVT LTD-488575@oksbi,730.11,UPI,Transport
2025-09-25,POS 541490 NATURES BASKET PVT LTD GZB,491.0,POS,Groceries
2025-10-24,POS 26611 MAX HOSPITAL LTD DEL,1069.5,POS,Health & Fitness
2026-05-19,UPI-MYNTRA INDIA-519392@oksbi,614.3,UPI,Shopping
2025-08-24,POS 185430 NETFLIX LTD GZB,296.11,POS,Subscriptions
2026-02-23,UPI-AIRTEL PAYMENTS-625377@okaxis,916.19,UPI,Utilities & Bills
2026-03-04,ACH-FD MATURITY PROCEEDS-468574,82448.41,ACH,Income
2025-11-04,UPI-STEAM PURCHASE PVT LTD-804013@apl,1033.73,UPI,Entertainment
2025-11-24,UPI-HOTSTAR PVT LTD-336239@ibl,306.79,UPI,Subscriptions
2026-06-27,POS 428398 BARBEQUENATION INDIA MUM,1447.74,POS,Dining
2026-01-16,POS 993017 CROMA RETAIL DEL,29625.6,POS,Shopping
2025-12-28,UPI-CULTFIT INDIA-895905@apl,938.95,UPI,Health & Fitness
2025-10-21,POS 510232 PLAYSTATIO INDIA DEL,1029.23,POS,Entertainment
2025-09-23,UPI-AMAZON PRIME LTD-653483@ibl,299.87,UPI,Subscriptions
2025-08-12,POS 909959 FASTAG RECHARGE LTD NOIDA,226.42,POS,Transport
2025-12-15,UPI-RELIANCEFRESH INDIA-292773@apl,1376.23,UPI,Groceries
2026-04-03,UPI-MYNTRA PVT LTD-236113@upi,416.95,UPI,Shopping
2025-11-04,POS 652517 HDFCHOMELOANEMI BLR,16138.07,POS,Transfers & Payments
2025-10-20,UPI-AJIO PVT LTD-176939@ibl,1543.12,UPI,Shopping
2025-09-22,POS 607794 BOOKMYSHOW DEL,1321.68,POS,Entertainment
2025-10-10,UPI-ACTFIBERNET LTD-107851@upi,1177.38,UPI,Utilities & Bills
2026-04-07,NEFT-CREDRENTPAYMENT-N450186,18752.21,NEFT,Rent
2026-02-01,UPI-FAASOS-455582@okaxis,253.31,UPI,Dining
2026-02-02,ACH-CRED RENT PAYMENT PVT LTD-646830,23063.72,ACH,Rent
2026-04-30,UPI-TATAPLAYDTH LTD-872084@paytm,338.9,UPI,Utilities & Bills
2026-06-08,UPI-SCALERACADEMY-519317@apl,7640.86,UPI,Shopping
2025-12-22,POS 736244 COURSERA MUM,2926.71,POS,Shopping
2026-01-25,UPI-CROMA R INDIA-678278@upi,10395.32,UPI,Shopping
2026-01-24,UPI-PHARMEASY PVT LTD-697212@ibl,333.84,UPI,Health & Fitness
2026-04-08,UPI-INDRAPRASTHAGAS INDIA-285076@okaxis,469.52,UPI,Utilities & Bills
2026-04-01,UPI-MCDONALDS LTD-201845@ybl,395.49,UPI,Dining
2026-03-26,IMPS-874074-SPENCERS RETAIL,248.99,IMPS,Groceries
2026-06-28,UPI-ZEPTO-58174@ibl,168.28,UPI,Groceries
2025-07-07,UPI-CRED PAYMENT INDIA-502968@oksbi,3924.38,UPI,Transfers & Payments
2026-03-02,NEFT-PHONEPEUPI-N421172,4912.11,NEFT,Transfers & Payments
2026-04-15,UPI-JIO RECHARGE-261247@paytm,413.73,UPI,Utilities & Bills
2026-01-11,POS 902950 RELIANCE DIGI PVT LTD GZB,39226.31,POS,Shopping
2025-08-20,UPI-FASTAG RECHARGE LTD-656900@ybl,256.03,UPI,Transport
2025-08-08,UPI-MCDONALDS INDIA-473387@upi,308.68,UPI,Dining
