date,raw_description,amount,channel,category
2026-06-08,UPI-MERUCABS-157044@ibl,554.23,UPI,Transport
2025-08-12,UPI-ZEE5-795382@apl,348.23,UPI,Subscriptions
2026-06-04,UPI-SHOPPE PVT LTD-12125@ybl,1337.11,UPI,Shopping
2026-02-16,UPI-FORTIS HOSPITAL PVT LTD-417275@upi,1184.99,UPI,Health & Fitness
2026-04-02,UPI-BHARAT PETROLEUM PVT LTD-915698@paytm,518.07,UPI,Transport
2026-01-18,UPI-ADANI ELECTRICITY LTD-904318@ybl,2086.61,UPI,Utilities & Bills
2025-08-09,POS 354144 SHOPPERS STOP DEL,967.93,POS,Shopping
2025-09-30,POS 81927 MTNL DELHI NOIDA,449.36,POS,Utilities & Bills
2026-05-07,UPI-ICICIHOMELOANEMI PVT LTD-259749@ibl,16323.52,UPI,Transfers & Payments
2026-03-02,POS 91847 ADANI ELECTRICITY INDIA NOIDA,1074.7,POS,Utilities & Bills
2025-11-10,UPI-AMAZON PRIME VIDEO PVT LTD-882487@ibl,1266.98,UPI,Subscriptions
2025-07-08,UPI-MTNL DEL LTD-247310@upi,255.92,UPI,Utilities & Bills
2025-10-08,POS 892585 GEEKSFORG INDIA DEL,1618.4,POS,Shopping
2026-01-29,POS 25741 AMAZON PRIME GZB,1369.63,POS,Subscriptions
2025-10-31,UPI-PANTALOONS-196471@apl,669.64,UPI,Shopping
2026-06-20,UPI-ICICI  PVT LTD-494186@apl,15000.66,UPI,Transfers & Payments
2025-10-22,UPI-BIKANE PVT LTD-149911@upi,156.83,UPI,Dining
2025-09-29,UPI-WELLNESS -184945@upi,122.77,UPI,Health & Fitness
2026-05-15,POS 344648 GEEKSFORGEEKSCOURSE MUM,1124.51,POS,Shopping
2025-11-04,UPI-FORTIS HOSPITAL-915519@ibl,936.15,UPI,Health & Fitness
2025-09-28,POS 90624 CINEPOLIS GZB,849.81,POS,Entertainment
2026-06-07,UPI-AMAZON -27691@ibl,1065.9,UPI,Subscriptions
2026-04-14,UPI-FORTIS HOSPITAL PVT LTD-21355@ibl,910.44,UPI,Health & Fitness
2025-11-15,UPI-MERU CABS PVT LTD-870335@ybl,168.96,UPI,Transport
2026-03-08,UPI-BHARATPETROLEUM LTD-723998@upi,1763.36,UPI,Transport
2025-08-22,POS 250679 SHOPPERS STOP PVT LTD BLR,1332.77,POS,Shopping
2026-04-23,UPI-WELLNESSFOREVER LTD-595226@oksbi,170.75,UPI,Health & Fitness
2025-12-21,POS 443586 THEOBROMA DEL,568.94,POS,Dining
2025-12-14,POS 209975 VISHAL MEGA MART LTD GZB,435.07,POS,Groceries
2025-12-22,NEFT-FORTIS HOSPITAL PVT LTD-N885824,710.74,NEFT,Health & Fitness
2026-03-03,POS 537908 ADANIELECTRICITY DEL,657.6,POS,Utilities & Bills
2025-09-02,IMPS-612268-RTGS INWARD CREDIT,27673.16,IMPS,Income
2026-01-03,UPI-ADANI ELECTRICITY INDIA-983790@ybl,1155.09,UPI,Utilities & Bills
2025-08-02,IMPS-926098-EVENT TICKET INDIA,1587.56,IMPS,Entertainment
2026-05-13,UPI-PANTALOONS-79882@ibl,1088.62,UPI,Shopping
2025-08-06,IMPS-397612-BROKERRENTTRANSFER LTD,11509.63,IMPS,Rent
2025-11-26,POS 774799 BHARATPETROLEUM MUM,597.12,POS,Transport
2025-08-23,UPI-AMAZON PRIME VIDEO LTD-451704@ybl,316.18,UPI,Subscriptions
2025-11-17,POS 104562 PANTALOONS LTD BLR,2170.9,POS,Shopping
2026-04-29,UPI-THEOBROMA LTD-539143@paytm,701.79,UPI,Dining
2025-11-04,ACH-BROKERRENTTRANSFER INDIA-343531,10203.76,ACH,Rent
2026-04-13,UPI-ZEE5-772271@ybl,337.71,UPI,Subscriptions
2025-10-15,UPI-SHOPPERS STOP PVT LTD-92830@ybl,1325.27,UPI,Shopping
2026-06-28,IMPS-69617-SHOPPERSSTOP LTD,3324.56,IMPS,Shopping
2026-05-20,POS 242417 BANK TRANSFER INDIA BLR,29280.08,POS,Transfers & Payments
2025-11-11,POS 255917 STAR BAZAAR LTD GZB,1818.19,POS,Groceries
2026-01-27,UPI-SUBWAY LTD-35189@oksbi,540.81,UPI,Dining
2025-11-08,UPI-THEOBROMA-722157@paytm,327.16,UPI,Dining
2025-08-30,UPI-PANTALOONS INDIA-601733@upi,3866.05,UPI,Shopping
2025-09-29,UPI-CINEPOLIS PVT LTD-626918@ibl,330.57,UPI,Entertainment
2026-01-03,NEFT-RTGSINWARDCREDIT LTD-N966366,17041.74,NEFT,Income
2026-06-20,UPI-SHOPPERSSTOP INDIA-86705@oksbi,852.49,UPI,Shopping
2025-11-02,UPI-BROKER INDIA-789886@upi,22586.01,UPI,Rent
2025-08-02,IMPS-5258-BROKER REN INDIA,13487.87,IMPS,Rent
2025-08-09,IMPS-828782-EVENTTICKET INDIA,1058.94,IMPS,Entertainment
2026-06-05,POS 807998 WELLNESS FOREVER NOIDA,121.69,POS,Health & Fitness
2025-07-27,IMPS-451922-ADANIELECTRICITY,600.8,IMPS,Utilities & Bills
2026-02-13,UPI-STAR BAZAAR INDIA-329751@upi,1108.24,UPI,Groceries
2025-11-10,UPI-ADANIELECTRICITY-638044@apl,572.4,UPI,Utilities & Bills
2026-02-17,POS 839081 MERU CABS PVT LTD DEL,187.32,POS,Transport
2025-11-06,NEFT-BROKERRENTTRANSFER PVT LTD-N52236,11027.81,NEFT,Rent
2026-03-03,IMPS-439478-BROKERRENTTRANSFER INDIA,23399.65,IMPS,Rent
2025-09-05,UPI-ZEE5-647460@okaxis,406.74,UPI,Subscriptions
2026-03-18,UPI-GEEKSFORGEEKSCOURSE PVT LTD-169258@ibl,3855.68,UPI,Shopping
2025-09-15,NEFT-STAR BAZAAR INDIA-N510809,745.2,NEFT,Groceries
2025-12-05,NEFT-RTGS INWARD CREDIT PVT LTD-N648592,20083.21,NEFT,Income
2026-01-02,IMPS-738791-BROKER RENT TR INDIA,22827.04,IMPS,Rent
2026-05-28,UPI-MTNL DELHI PVT LTD-238588@oksbi,535.51,UPI,Utilities & Bills
2026-03-12,UPI-VISHALMEGAMART INDIA-852853@paytm,1410.77,UPI,Groceries
2025-12-23,IMPS-364957-SHOPPERS STOP PVT LTD,5765.89,IMPS,Shopping
2026-02-03,POS 646226 ADANI ELECTRICITY MUM,1383.96,POS,Utilities & Bills
2025-10-29,UPI-ZEE5-637212@ibl,673.07,UPI,Subscriptions
2026-05-18,UPI-EVENTTICKET INDIA-609580@ybl,1482.26,UPI,Entertainment
2025-08-13,NEFT-WELLNESSFOREVER-N740050,115.5,NEFT,Health & Fitness
2025-12-06,UPI-BIKANERVALA-608957@oksbi,267.71,UPI,Dining
2026-04-08,NEFT-BHARAT PETROLEUM PVT LTD-N519650,671.22,NEFT,Transport
